Book, Verse , Lemma                                                                                                                                                                                                                                                                   , Witness                  , Source                     , Ed. Comment                                                                                                        , Gen. Comment , Second R.                       , Witness                 , Source             , Comment                                                                                  , Third R.                               , Witness         , Source   , Comment                                                                                 , Fourth R.               , Witness        , Source                    , Comment                                                  , Fifth R.         , Witness  , Source , Comment , Sixth R.         , Witness , Source  , Comment                                                                                              , Seventh R. , Witness , Source , Comment                                                                   
10,14, cum fetialibus                                                                                                                                                                                                                                                          , **F ?**                  ,,,, fetialibus                      , *Q *                    ,,,,,,,,,,,,,,,,,,,,,,
10,14, dicebat                                                                                                                                                                                                                                                                 , **F** *Ah2 º*            ,,,, dicebant                        , ? *Q *                  ,,,,,,,,,,,,,,,,,,,,,,
10,14," hastam, quae reseratpugnae sacerdotibus qui faciendis praesunt principium, et iam licebat",,                                                                                                                                                                    , **F ?**                  ,,,, *om.*                           , *Q *                    ,,,,,,,,,,,,,,,,,,,,
10,14, quae res                                                                                                                                                                                                                                                                , **?**                    ,,,, quo res                         , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, iam                                                                                                                                                                                                                                                                     , **F** *Pa *              ,,,, iam sic                         , **?**                   ,, (cf. *Liv.* hoc tum modo)                                                                , *loc. om.*                             , *Q *            ,,,,,,,,,,,,,,,,,,
10,14, clarigatio                                                                                                                                                                                                                                                              , **F**                    ,,,, claricatio                      , **?**                   ,,, clarigatione                           , *Pb *           ,,,,,,,,,,,,,,,,,,
10,14, dicta                                                                                                                                                                                                                                                                   , **?**                    ,,,, dictae                          , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, a*(2)*                                                                                                                                                                                                                                                                  , **F ?**                  ,,,, *om.*                           , *Pa Pb *                ,,,,,,,,,,,,,,,,,,,,,,
10,14, a ?????                                                                                                                                                                                                                                                                 , **?**                    ,,,, adero                           , **F**                   ,,,,,,,,,,,,,,,,,,,,,,
10,14, sorte                                                                                                                                                                                                                                                                   , **F** º                  ,,,, sortem                          , ? *Q *                  ,,,,,,,,,,,,,,,,,,,,,,
10,14, ??????????                                                                                                                                                                                                                                                              , **F**                    ,,,, ?**?**????????                  , **F**                   ,,, cleronomoe                             , **?**           ,,,,,,,,,,,,,,,,,,
