Book, Verse , Lemma                                                                                                                                 , Witness                        , Source                         , Ed. Comment                                                                                                                , Gen. Comment , Second R.                                                                   , Witness                           , Source                          , Comment                                                                                                                                       , Third R.                        , Witness          , Source           , Comment                             , Fourth R.          , Witness     , Source , Comment                    , Fifth R.              , Witness , Source  , Comment                                                                                                                                           , Fifth R. , Witness     , Source        , Comment , Sixth R. , Witness , Source , Comment , Seventh R.  , Witness , Source , Comment                                                           
9,10, qui                                                                                                                                   , **Γ **                         ,,,, qui                                                                         , O                                 ,, fort. *ex* quae                                                                                                                               , quia                            , **F** γ          ,,,,,,,,,,,,,,,,,,,,,,
9,11, pertinent                                                                                                                             , *T *                           ,,,, pertinet                                                                    , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,13, CASTRA                                                                                                                                , **F **                         ,,,, c.                                                                          , **Γ **                            ,,, t                               , *Q *             ,,, *om.*              , γ           ,,,,,,,,,,,,,,,,,,
9,13, aut(4)                                                                                                                                ,, *Dan.*                         ,,, autem aut                                                                   , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,14, ALIS                                                                                                                                  ,, Verg.                          ,,, aliis                                                                       , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15, NVBIBVS                                                                                                                               , **Γ **                         ,,,, nibibus                                                                     , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,15, sectus                                                                                                                                , **F Γ **                       ,,,, sectatus                                                                    , *W *                              ,,, secutus                         , γ                ,,,,,,,,,,,,,,,,,,,,,,
9,15, est                                                                                                                                   , **F Γ **                       ,,,, *om.*                                                                       , *Q *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,16, esset                                                                                                                                 , **Γ **                         ,,,, esse                                                                        , *Q *                              ,,, sit                             , **F **           ,,,,,,,,,,,,,,,,,,,,,,
9,16, actam unde                                                                                                                            , **Γ **                         ,,,, actit munde                                                                 , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,16, apparet eum                                                                                                                           ,, *Dan.*                         ,,, apperet eam                                                                 , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19, Iris                                                                                                                                  , **Γ **                         ,,,, ipsis                                                                       , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19, eius                                                                                                                                  , **Γ **                         ,,,, cuius                                                                       , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19, abscessum                                                                                                                             , **Γ **                         ,,,, abscissum                                                                   , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,19, τῶν μέσων                                                                                                                             , **Γ **                         ,,,, ton meson                                                                   , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, DISCEDERE                                                                                                                             , **Γ **                         ,,,, Discere                                                                     , **F **                            ,,, Discindere                      , *W *             ,,,,,,,,,,,,,,,,,,,,,,
9,20, recessum per                                                                                                                          , **Γ **                         ,,,, seces super                                                                 , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, vult videri                                                                                                                           , **Γ **                         ,,,, uul uidere                                                                  , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, Irim                                                                                                                                  , *W *                           ,,,, inter chas marim                                                            , **F **                            ,,, casmatrim                       , θ [**Γ** ]     ,,, casmatri           , *Q *        ,,, chasma tum irin       , γ       ,,, c(h)asma , *Pa Pc*     ,,, chasma   , *Pa Pc* ,,, chasma irim , *N *    ,, (chasma *vel* inter chasma *glossema fuisse videtur ad* per quod) 
9,20, unde est                                                                                                                              , **Γ **                         ,,,, unde est et                                                                 , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, medio                                                                                                                                 , **Γ **                         ,,,, mdio                                                                        , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, fierent                                                                                                                               ,, *Masv.*                        , (*errat Thilo cum dicit cod. R* fierent *exhibere*)                                                                        ,, fieret                                                                      , **F Γ **                          ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, et nimium splendorem                                                                                                                  , **F** *Pa Pc *                 ,,,, et nimium altiorem                                                          , **Γ** *E<sup>c</sup>*             ,,, *om.*                           , *E *             ,,,,,,,,,,,,,,,,,,,,,,
9,20, quidam(1)                                                                                                                             , **Γ **                         ,,,, quedam                                                                      , **F **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, recessus                                                                                                                              , **F Γ **                       ,,,, discessus                                                                   , γ                                 ,,, hiatus                          ,, *Plin.*          ,,,,,,,,,,,,,,,,,,,,,
9,20, ostenta                                                                                                                               ,, *Dan.*                         ,,, est emta                                                                    , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,20, discessisse                                                                                                                           ,, *Thilo*                        ,,, discisse                                                                    , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21, POLO                                                                                                                                  , **F **                         ,,,, p.                                                                          , **Γ **                            ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21, perpetuum                                                                                                                             , *G *                           ,,,, perpetum                                                                    , *F *                              ,,,,,,,,,,,,,,,,,,,,,,,,,,
9,21, OMINA                                                                                                                                 , **Γ **                         ,,,, Omnia                                                                       , **F** *A*                         , *cod. a Vergilii*               ,, omna                            , *N *             ,,,,,,,,,,,,,,,,,,,,,,
9,21, hic                                                                                                                                   ,, *Masv.*                        ,,, haec                                                                        , *F *                              ,,, hoc loco                        , *T *             ,,,,,,,,,,,,,,,,,,,,,,
